,_index,_type,_id,_score,log,stream,@timestamp,tag,container_name,namespace_name,pod_name,pod_id,namespace_id,container_id,kubernetes_io/metadata_name,log_class
0,logstash-2022.07.02,_doc,CnEL3oEBqvOq4N550C3h,6.0239873,"{""t"":{""$date"":""2022-07-02T05:58:06.560+00:00""},""s"":""I"",  ""c"":""STORAGE"",  ""id"":22430,   ""ctx"":""Checkpointer"",""msg"":""WiredTiger message"",""attr"":{""message"":""[1656741486:558416][1:0x7f3bcd924700], WT_SESSION.checkpoint: [WT_VERB_CHECKPOINT_PROGRESS] saving checkpoint snapshot min: 3575, snapshot max: 3575 snapshot count: 0, oldest timestamp: (0, 0) , meta checkpoint timestamp: (0, 0) base write gen: 7""}}
",stdout,2022-07-02T05:58:06.566506047+00:00,kubernetes.var.log.containers.mongodb-76457756fb-s6svs_robot-shop_mongodb-5e8dc826015ae5ec6b69773e317ea8909757098986a85fb13f7c9381d27b72f5.log,mongodb,robot-shop,mongodb-76457756fb-s6svs,5e8dc826015ae5ec6b69773e317ea8909757098986a85fb13f7c9381d27b72f5,05bcc4dc-d761-4aad-b6e0-4c34a7451709,5e8dc826015ae5ec6b69773e317ea8909757098986a85fb13f7c9381d27b72f5,robot-shop,Other
1,logstash-2022.07.02,_doc,C3EL3oEBqvOq4N550C3h,6.0239873,"{""t"":{""$date"":""2022-07-02T05:56:06.495+00:00""},""s"":""I"",  ""c"":""STORAGE"",  ""id"":22430,   ""ctx"":""Checkpointer"",""msg"":""WiredTiger message"",""attr"":{""message"":""[1656741366:493922][1:0x7f3bcd924700], WT_SESSION.checkpoint: [WT_VERB_CHECKPOINT_PROGRESS] saving checkpoint snapshot min: 3573, snapshot max: 3573 snapshot count: 0, oldest timestamp: (0, 0) , meta checkpoint timestamp: (0, 0) base write gen: 7""}}
",stdout,2022-07-02T05:56:06.501609275+00:00,kubernetes.var.log.containers.mongodb-76457756fb-s6svs_robot-shop_mongodb-5e8dc826015ae5ec6b69773e317ea8909757098986a85fb13f7c9381d27b72f5.log,mongodb,robot-shop,mongodb-76457756fb-s6svs,5e8dc826015ae5ec6b69773e317ea8909757098986a85fb13f7c9381d27b72f5,05bcc4dc-d761-4aad-b6e0-4c34a7451709,5e8dc826015ae5ec6b69773e317ea8909757098986a85fb13f7c9381d27b72f5,robot-shop,Other
2,logstash-2022.07.02,_doc,DHEL3oEBqvOq4N550C3h,6.0239873,"{""t"":{""$date"":""2022-07-02T05:55:06.460+00:00""},""s"":""I"",  ""c"":""STORAGE"",  ""id"":22430,   ""ctx"":""Checkpointer"",""msg"":""WiredTiger message"",""attr"":{""message"":""[1656741306:455663][1:0x7f3bcd924700], WT_SESSION.checkpoint: [WT_VERB_CHECKPOINT_PROGRESS] saving checkpoint snapshot min: 3572, snapshot max: 3572 snapshot count: 0, oldest timestamp: (0, 0) , meta checkpoint timestamp: (0, 0) base write gen: 7""}}
",stdout,2022-07-02T05:55:06.467968175+00:00,kubernetes.var.log.containers.mongodb-76457756fb-s6svs_robot-shop_mongodb-5e8dc826015ae5ec6b69773e317ea8909757098986a85fb13f7c9381d27b72f5.log,mongodb,robot-shop,mongodb-76457756fb-s6svs,5e8dc826015ae5ec6b69773e317ea8909757098986a85fb13f7c9381d27b72f5,05bcc4dc-d761-4aad-b6e0-4c34a7451709,5e8dc826015ae5ec6b69773e317ea8909757098986a85fb13f7c9381d27b72f5,robot-shop,Other
3,logstash-2022.07.02,_doc,DXEL3oEBqvOq4N550C3h,6.0239873,"{""t"":{""$date"":""2022-07-02T05:54:06.428+00:00""},""s"":""I"",  ""c"":""STORAGE"",  ""id"":22430,   ""ctx"":""Checkpointer"",""msg"":""WiredTiger message"",""attr"":{""message"":""[1656741246:426437][1:0x7f3bcd924700], WT_SESSION.checkpoint: [WT_VERB_CHECKPOINT_PROGRESS] saving checkpoint snapshot min: 3571, snapshot max: 3571 snapshot count: 0, oldest timestamp: (0, 0) , meta checkpoint timestamp: (0, 0) base write gen: 7""}}
",stdout,2022-07-02T05:54:06.430082594+00:00,kubernetes.var.log.containers.mongodb-76457756fb-s6svs_robot-shop_mongodb-5e8dc826015ae5ec6b69773e317ea8909757098986a85fb13f7c9381d27b72f5.log,mongodb,robot-shop,mongodb-76457756fb-s6svs,5e8dc826015ae5ec6b69773e317ea8909757098986a85fb13f7c9381d27b72f5,05bcc4dc-d761-4aad-b6e0-4c34a7451709,5e8dc826015ae5ec6b69773e317ea8909757098986a85fb13f7c9381d27b72f5,robot-shop,Other
4,logstash-2022.07.02,_doc,DnEL3oEBqvOq4N550C3h,6.0239873,"{""t"":{""$date"":""2022-07-02T05:53:06.404+00:00""},""s"":""I"",  ""c"":""STORAGE"",  ""id"":22430,   ""ctx"":""Checkpointer"",""msg"":""WiredTiger message"",""attr"":{""message"":""[1656741186:403046][1:0x7f3bcd924700], WT_SESSION.checkpoint: [WT_VERB_CHECKPOINT_PROGRESS] saving checkpoint snapshot min: 3570, snapshot max: 3570 snapshot count: 0, oldest timestamp: (0, 0) , meta checkpoint timestamp: (0, 0) base write gen: 7""}}
",stdout,2022-07-02T05:53:06.408615986+00:00,kubernetes.var.log.containers.mongodb-76457756fb-s6svs_robot-shop_mongodb-5e8dc826015ae5ec6b69773e317ea8909757098986a85fb13f7c9381d27b72f5.log,mongodb,robot-shop,mongodb-76457756fb-s6svs,5e8dc826015ae5ec6b69773e317ea8909757098986a85fb13f7c9381d27b72f5,05bcc4dc-d761-4aad-b6e0-4c34a7451709,5e8dc826015ae5ec6b69773e317ea8909757098986a85fb13f7c9381d27b72f5,robot-shop,Other
5,logstash-2022.07.02,_doc,D3EL3oEBqvOq4N550C3h,6.0239873,"{""t"":{""$date"":""2022-07-02T05:51:06.376+00:00""},""s"":""I"",  ""c"":""STORAGE"",  ""id"":22430,   ""ctx"":""Checkpointer"",""msg"":""WiredTiger message"",""attr"":{""message"":""[1656741066:373439][1:0x7f3bcd924700], WT_SESSION.checkpoint: [WT_VERB_CHECKPOINT_PROGRESS] saving checkpoint snapshot min: 3568, snapshot max: 3568 snapshot count: 0, oldest timestamp: (0, 0) , meta checkpoint timestamp: (0, 0) base write gen: 7""}}
",stdout,2022-07-02T05:51:06.381241360+00:00,kubernetes.var.log.containers.mongodb-76457756fb-s6svs_robot-shop_mongodb-5e8dc826015ae5ec6b69773e317ea8909757098986a85fb13f7c9381d27b72f5.log,mongodb,robot-shop,mongodb-76457756fb-s6svs,5e8dc826015ae5ec6b69773e317ea8909757098986a85fb13f7c9381d27b72f5,05bcc4dc-d761-4aad-b6e0-4c34a7451709,5e8dc826015ae5ec6b69773e317ea8909757098986a85fb13f7c9381d27b72f5,robot-shop,Other
6,logstash-2022.07.02,_doc,EHEL3oEBqvOq4N550C3h,6.0239873,"{""t"":{""$date"":""2022-07-02T05:50:06.349+00:00""},""s"":""I"",  ""c"":""STORAGE"",  ""id"":22430,   ""ctx"":""Checkpointer"",""msg"":""WiredTiger message"",""attr"":{""message"":""[1656741006:347782][1:0x7f3bcd924700], WT_SESSION.checkpoint: [WT_VERB_CHECKPOINT_PROGRESS] saving checkpoint snapshot min: 3567, snapshot max: 3567 snapshot count: 0, oldest timestamp: (0, 0) , meta checkpoint timestamp: (0, 0) base write gen: 7""}}
",stdout,2022-07-02T05:50:06.352809188+00:00,kubernetes.var.log.containers.mongodb-76457756fb-s6svs_robot-shop_mongodb-5e8dc826015ae5ec6b69773e317ea8909757098986a85fb13f7c9381d27b72f5.log,mongodb,robot-shop,mongodb-76457756fb-s6svs,5e8dc826015ae5ec6b69773e317ea8909757098986a85fb13f7c9381d27b72f5,05bcc4dc-d761-4aad-b6e0-4c34a7451709,5e8dc826015ae5ec6b69773e317ea8909757098986a85fb13f7c9381d27b72f5,robot-shop,Other
7,logstash-2022.07.02,_doc,EXEL3oEBqvOq4N550C3h,6.0239873,"{""t"":{""$date"":""2022-07-02T05:45:06.260+00:00""},""s"":""I"",  ""c"":""STORAGE"",  ""id"":22430,   ""ctx"":""Checkpointer"",""msg"":""WiredTiger message"",""attr"":{""message"":""[1656740706:260684][1:0x7f3bcd924700], WT_SESSION.checkpoint: [WT_VERB_CHECKPOINT_PROGRESS] saving checkpoint snapshot min: 3562, snapshot max: 3562 snapshot count: 0, oldest timestamp: (0, 0) , meta checkpoint timestamp: (0, 0) base write gen: 7""}}
",stdout,2022-07-02T05:45:06.260878272+00:00,kubernetes.var.log.containers.mongodb-76457756fb-s6svs_robot-shop_mongodb-5e8dc826015ae5ec6b69773e317ea8909757098986a85fb13f7c9381d27b72f5.log,mongodb,robot-shop,mongodb-76457756fb-s6svs,5e8dc826015ae5ec6b69773e317ea8909757098986a85fb13f7c9381d27b72f5,05bcc4dc-d761-4aad-b6e0-4c34a7451709,5e8dc826015ae5ec6b69773e317ea8909757098986a85fb13f7c9381d27b72f5,robot-shop,Other
8,logstash-2022.07.02,_doc,EnEL3oEBqvOq4N550C3h,6.0239873,"{""t"":{""$date"":""2022-07-02T05:44:06.253+00:00""},""s"":""I"",  ""c"":""STORAGE"",  ""id"":22430,   ""ctx"":""Checkpointer"",""msg"":""WiredTiger message"",""attr"":{""message"":""[1656740646:253838][1:0x7f3bcd924700], WT_SESSION.checkpoint: [WT_VERB_CHECKPOINT_PROGRESS] saving checkpoint snapshot min: 3561, snapshot max: 3561 snapshot count: 0, oldest timestamp: (0, 0) , meta checkpoint timestamp: (0, 0) base write gen: 7""}}
",stdout,2022-07-02T05:44:06.254035176+00:00,kubernetes.var.log.containers.mongodb-76457756fb-s6svs_robot-shop_mongodb-5e8dc826015ae5ec6b69773e317ea8909757098986a85fb13f7c9381d27b72f5.log,mongodb,robot-shop,mongodb-76457756fb-s6svs,5e8dc826015ae5ec6b69773e317ea8909757098986a85fb13f7c9381d27b72f5,05bcc4dc-d761-4aad-b6e0-4c34a7451709,5e8dc826015ae5ec6b69773e317ea8909757098986a85fb13f7c9381d27b72f5,robot-shop,Other
9,logstash-2022.07.02,_doc,E3EL3oEBqvOq4N550C3h,6.0239873,"{""t"":{""$date"":""2022-07-02T05:41:06.237+00:00""},""s"":""I"",  ""c"":""STORAGE"",  ""id"":22430,   ""ctx"":""Checkpointer"",""msg"":""WiredTiger message"",""attr"":{""message"":""[1656740466:237499][1:0x7f3bcd924700], WT_SESSION.checkpoint: [WT_VERB_CHECKPOINT_PROGRESS] saving checkpoint snapshot min: 3558, snapshot max: 3558 snapshot count: 0, oldest timestamp: (0, 0) , meta checkpoint timestamp: (0, 0) base write gen: 7""}}
",stdout,2022-07-02T05:41:06.237750108+00:00,kubernetes.var.log.containers.mongodb-76457756fb-s6svs_robot-shop_mongodb-5e8dc826015ae5ec6b69773e317ea8909757098986a85fb13f7c9381d27b72f5.log,mongodb,robot-shop,mongodb-76457756fb-s6svs,5e8dc826015ae5ec6b69773e317ea8909757098986a85fb13f7c9381d27b72f5,05bcc4dc-d761-4aad-b6e0-4c34a7451709,5e8dc826015ae5ec6b69773e317ea8909757098986a85fb13f7c9381d27b72f5,robot-shop,Other
